74.6.149.144 - - [31/Aug/2009:00:52:13 -0700] "GET www.suzanwoodruff.com/images/galleries/burning woman/newbw3.jpg HTTP/1.0" 200 73770 "-" "Mozilla/5.0 (Yahoo-MMCrawler/4.0; mailto:vertical-crawl-support@yahoo-inc.com)"
84.0.117.142 - - [31/Aug/2009:02:13:19 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/aquaticghost_tn.jpg HTTP/1.1" 200 9133 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:19 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/buda_tn.jpg HTTP/1.1" 200 7013 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:19 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/goldbug_tn.jpg HTTP/1.1" 200 9343 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:19 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/redpearl_tn.jpg HTTP/1.1" 200 7375 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:19 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/orobelle.jpg HTTP/1.1" 200 9443 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:20 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/greenflash.jpg HTTP/1.1" 200 7047 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:20 -0700] "GET www.suzanwoodruff.com/selectedworks/images/9/WaterLillies.jpg HTTP/1.1" 200 164244 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:32 -0700] "GET www.suzanwoodruff.com/selectedworks/images/9/Orobelle.jpg HTTP/1.1" 200 275473 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
84.0.117.142 - - [31/Aug/2009:02:13:43 -0700] "GET www.suzanwoodruff.com/selectedworks/images/9/Greenflash.jpg HTTP/1.1" 200 169057 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; hu; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13"
193.47.80.49 - - [31/Aug/2009:04:04:01 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.1" 404 1695 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
193.47.80.49 - - [31/Aug/2009:04:04:01 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
58.61.164.39 - - [31/Aug/2009:04:57:48 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.1" 404 1695 "http://suzanwoodruff.com/robots.txt" "Sosospider+(+http://help.soso.com/webspider.htm)"
80.26.34.14 - - [31/Aug/2009:06:05:30 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "http://www.cichonfineart.com/studiotour/californiapictures.htm" "Mozilla/5.0 (Windows; U; Windows NT 5.1; es-ES; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13 (.NET CLR 3.5.30729)"
80.26.34.14 - - [31/Aug/2009:06:05:31 -0700] "GET www.suzanwoodruff.com/images/title2.jpg HTTP/1.1" 200 3317 "http://www.suzanwoodruff.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; es-ES; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13 (.NET CLR 3.5.30729)"
80.26.34.14 - - [31/Aug/2009:06:05:32 -0700] "GET www.suzanwoodruff.com/images/avatar.jpg HTTP/1.1" 200 33733 "http://www.suzanwoodruff.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; es-ES; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13 (.NET CLR 3.5.30729)"
80.26.34.14 - - [31/Aug/2009:06:05:33 -0700] "GET www.suzanwoodruff.com/images/COVERDROP.jpg HTTP/1.1" 200 198574 "http://www.suzanwoodruff.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; es-ES; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13 (.NET CLR 3.5.30729)"
80.26.34.14 - - [31/Aug/2009:06:05:34 -0700] "GET www.suzanwoodruff.com/favicon.ico HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; es-ES; rv:1.9.0.13) Gecko/2009073022 Firefox/3.0.13 (.NET CLR 3.5.30729)"
72.30.161.249 - - [31/Aug/2009:06:16:10 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.161.249 - - [31/Aug/2009:06:16:10 -0700] "GET www.suzanwoodruff.com/Budapest.html HTTP/1.0" 200 1699 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
24.218.47.126 - - [31/Aug/2009:06:47:24 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
124.115.0.145 - - [31/Aug/2009:07:27:24 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "http://www.suzanwoodruff.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
114.80.93.73 - - [31/Aug/2009:07:31:07 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "http://www.suzanwoodruff.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
58.61.164.39 - - [31/Aug/2009:07:34:20 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "http://www.suzanwoodruff.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
200.88.204.141 - - [31/Aug/2009:07:35:01 -0700] "GET www.suzanwoodruff.com/index.html HTTP/1.1" 200 3629 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:02 -0700] "GET www.suzanwoodruff.com/images/avatar.jpg HTTP/1.1" 200 33733 "http://www.suzanwoodruff.com/index.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:02 -0700] "GET www.suzanwoodruff.com/images/title2.jpg HTTP/1.1" 200 3317 "http://www.suzanwoodruff.com/index.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:04 -0700] "GET www.suzanwoodruff.com/images/COVERDROP.jpg HTTP/1.1" 200 198574 "http://www.suzanwoodruff.com/index.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:06 -0700] "GET www.suzanwoodruff.com/favicon.ico HTTP/1.1" 200 0 "http://www.suzanwoodruff.com/index.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:12 -0700] "GET www.suzanwoodruff.com/works.html HTTP/1.1" 200 6091 "http://www.suzanwoodruff.com/index.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:13 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/waterlillies.jpg HTTP/1.1" 200 15622 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:13 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/tantra_tn.jpg HTTP/1.1" 200 7251 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:13 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/aquaticghost_tn.jpg HTTP/1.1" 200 9133 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:14 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/secrets_tn.jpg HTTP/1.1" 200 6774 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:14 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/buda_tn.jpg HTTP/1.1" 200 7013 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:15 -0700] "GET www.suzanwoodruff.com/selectedworks/images/9/WaterLillies.jpg HTTP/1.1" 200 164244 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:15 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/goldbug_tn.jpg HTTP/1.1" 200 9343 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:15 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/redpearl_tn.jpg HTTP/1.1" 200 7375 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:16 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/greenflash.jpg HTTP/1.1" 200 7047 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:16 -0700] "GET www.suzanwoodruff.com/selectedworks/thumbs/9/orobelle.jpg HTTP/1.1" 200 9443 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
200.88.204.141 - - [31/Aug/2009:07:35:26 -0700] "GET www.suzanwoodruff.com/selectedworks/images/9/Tantra.jpg HTTP/1.1" 200 187488 "http://www.suzanwoodruff.com/works.html" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
69.64.155.87 - - [31/Aug/2009:08:26:56 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "-" "libwww-perl/5.814"
72.30.161.249 - - [31/Aug/2009:10:35:26 -0700] "GET www.suzanwoodruff.com/cv.html HTTP/1.0" 200 8918 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
24.218.47.126 - - [31/Aug/2009:11:47:10 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-us) AppleWebKit/531.9 (KHTML, like Gecko) Version/4.0.3 Safari/531.9"
72.30.142.155 - - [31/Aug/2009:11:57:19 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.142.155 - - [31/Aug/2009:11:57:19 -0700] "GET www.suzanwoodruff.com/ HTTP/1.0" 200 3617 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.142.155 - - [31/Aug/2009:11:59:29 -0700] "GET www.suzanwoodruff.com/works.html HTTP/1.0" 200 6071 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.142.155 - - [31/Aug/2009:13:01:36 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.142.155 - - [31/Aug/2009:13:01:36 -0700] "GET www.suzanwoodruff.com/ArtLTD.html HTTP/1.0" 200 7055 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
67.16.94.2 - - [31/Aug/2009:13:26:06 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Gigabot/3.0 (http://www.gigablast.com/spider.html)"
67.16.94.2 - - [31/Aug/2009:13:26:09 -0700] "GET www.suzanwoodruff.com/ HTTP/1.0" 200 3617 "-" "Gigabot/3.0 (http://www.gigablast.com/spider.html)"
88.131.106.1 - - [31/Aug/2009:13:29:02 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Speedy Spider (http://www.entireweb.com/about/search_tech/speedy_spider/)"
88.131.106.1 - - [31/Aug/2009:13:29:08 -0700] "GET www.suzanwoodruff.com/works6.html HTTP/1.0" 200 6039 "-" "Speedy Spider (http://www.entireweb.com/about/search_tech/speedy_spider/)"
72.30.142.155 - - [31/Aug/2009:14:01:56 -0700] "GET www.suzanwoodruff.com/indexmain.html HTTP/1.0" 200 4965 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
208.80.195.33 - - [31/Aug/2009:16:29:29 -0700] "GET www.suzanwoodruff.com/ HTTP/1.0" 200 3617 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; Comcast; Comcast)"
208.80.195.39 - - [31/Aug/2009:16:38:16 -0700] "GET www.suzanwoodruff.com/ HTTP/1.0" 200 3617 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; {755E471B-F777-2094-B701-9AE8871E0495})"
65.55.207.75 - - [31/Aug/2009:18:44:46 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.1" 404 1695 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
65.55.207.75 - - [31/Aug/2009:18:46:10 -0700] "GET www.suzanwoodruff.com/works6.html HTTP/1.0" 200 6039 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
61.135.249.210 - - [31/Aug/2009:19:06:48 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.1" 404 1695 "-" "Mozilla/5.0 (compatible; YoudaoBot/1.0; http://www.youdao.com/help/webmaster/spider/; )"
61.135.249.210 - - [31/Aug/2009:19:06:48 -0700] "GET www.suzanwoodruff.com/ HTTP/1.1" 200 3629 "-" "Mozilla/5.0 (compatible; YoudaoBot/1.0; http://www.youdao.com/help/webmaster/spider/; )"
67.218.116.164 - - [31/Aug/2009:19:32:36 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (Twiceler-0.9 http://www.cuil.com/twiceler/robot.html)"
72.30.161.249 - - [31/Aug/2009:19:53:21 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.161.249 - - [31/Aug/2009:19:53:21 -0700] "GET www.suzanwoodruff.com/reviews.html HTTP/1.0" 200 8281 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.161.249 - - [31/Aug/2009:19:58:00 -0700] "GET www.suzanwoodruff.com/ARTWEEK.html HTTP/1.0" 200 5959 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
67.218.116.162 - - [31/Aug/2009:22:33:06 -0700] "GET www.suzanwoodruff.com/robots.txt HTTP/1.0" 404 1683 "-" "Mozilla/5.0 (Twiceler-0.9 http://www.cuil.com/twiceler/robot.html)"
